MANDT,WERKS,MATNR,BUDAT,MENGE,NETWR,WAERS
100,S05,LUBE-0036,2024-01-24,25,2358.08,CAD
100,S05,SEED-0055,2024-01-24,12,5139.03,CAD
100,S01,TIRE-0045,2024-01-24,19,9512.98,CAD
100,S02,TIRE-0009,2024-01-24,21,2618.63,CAD
100,S01,SEED-0004,2024-01-25,7,2551.94,CAD
100,S02,FEED-0044,2024-01-25,5,2407.5,CAD
100,S02,SEED-0007,2024-01-25,3,346.22,CAD
100,S01,FUEL-0080,2024-01-25,15,2172.94,CAD
100,S04,FEED-0057,2024-01-25,5,2036.7,CAD
100,S02,LUBE-0001,2024-01-25,19,1257.42,CAD
100,S02,FUEL-0028,2024-01-25,18,8666.24,CAD
100,S06,TIRE-0064,2024-01-25,12,4855.74,CAD
100,S06,FUEL-0069,2024-01-25,19,10557.43,CAD
100,S06,FUEL-0051,2024-01-25,26,9320.25,CAD
100,S04,FEED-0003,2024-01-26,12,1043.08,CAD
100,S04,FEED-0074,2024-01-26,4,891.55,CAD
100,S04,FUEL-0015,2024-01-26,24,4140.24,CAD
100,S04,TIRE-0012,2024-01-26,20,3266.31,CAD
100,S01,LUBE-0068,2024-01-26,13,6053.64,CAD
100,S02,FEED-0044,2024-01-26,6,3005.54,CAD
100,S05,FUEL-0015,2024-01-26,21,3352.92,CAD
100,S02,FUEL-0019,2024-01-26,32,9505.62,CAD
100,S02,FEED-0033,2024-01-26,7,2770.94,CAD
100,S02,LUBE-0010,2024-01-26,21,9119.86,CAD
100,S03,FUEL-0080,2024-01-27,24,3005.85,CAD
100,S06,FEED-0057,2024-01-27,4,1643.64,CAD
100,S05,LUBE-0036,2024-01-27,25,2417.61,CAD
100,S01,HDWR-0058,2024-01-27,20,5787.25,CAD
100,S05,FUEL-0079,2024-01-28,24,11567.53,CAD
100,S05,SEED-0042,2024-01-28,5,2193.02,CAD
100,S01,SEED-0020,2024-01-28,2,877.46,CAD
100,S01,FUEL-0023,2024-01-29,18,8045.94,CAD
100,S05,HDWR-0067,2024-01-29,25,274.86,CAD
100,S04,LUBE-0037,2024-01-29,12,1744.25,CAD
100,S03,TIRE-0009,2024-01-29,26,2857.62,CAD
100,S02,SEED-0078,2024-01-29,5,316.67,CAD
100,S05,FUEL-0017,2024-01-29,17,1125.5,CAD
100,S01,LUBE-0068,2024-01-29,7,3492.27,CAD
100,S01,HDWR-0047,2024-01-29,15,3070.59,CAD
100,S02,HDWR-0018,2024-01-30,29,1604.69,CAD
100,S05,FUEL-0017,2024-01-30,19,1195.46,CAD
100,S02,TIRE-0021,2024-01-30,23,1929.03,CAD
100,S06,HDWR-0022,2024-01-30,7,361.92,CAD
100,S03,HDWR-0053,2024-01-30,15,3016.88,CAD
100,S06,LUBE-0037,2024-01-30,13,1984.32,CAD
100,S05,HDWR-0030,2024-01-30,19,3264.82,CAD
100,S02,TIRE-0021,2024-01-30,19,1590.38,CAD
100,S03,HDWR-0018,2024-01-30,25,1499.66,CAD
100,S04,FUEL-0019,2024-01-31,29,8584.74,CAD
100,S01,FEED-0054,2024-01-31,1,275.17,CAD
100,S02,LUBE-0048,2024-01-31,15,3549.36,CAD
100,S01,SEED-0041,2024-01-31,7,1019.07,CAD
100,S06,HDWR-0018,2024-01-31,8,553.57,CAD
100,S03,FEED-0003,2024-01-31,7,549.03,CAD
100,S05,SEED-0020,2024-01-31,10,3927.18,CAD
100,S01,FEED-0016,2024-01-31,7,3786.09,CAD
100,S01,TIRE-0009,2024-01-31,27,3450.46,CAD
100,S04,HDWR-0038,2024-02-01,15,2762.3,CAD
100,S02,FUEL-0046,2024-02-01,13,1690.9,CAD
100,S03,LUBE-0048,2024-02-01,15,4105.64,CAD
100,S01,FUEL-0046,2024-02-01,11,1415.64,CAD
100,S02,HDWR-0043,2024-02-01,26,4346.05,CAD
100,S06,FUEL-0023,2024-02-01,20,9003.38,CAD
100,S01,LUBE-0026,2024-02-01,21,949.71,CAD
100,S05,FEED-0040,2024-02-01,1,366.45,CAD
100,S03,LUBE-0037,2024-02-02,18,2802.78,CAD
100,S06,SEED-0007,2024-02-02,8,982.75,CAD
100,S05,LUBE-0048,2024-02-02,21,5031.95,CAD
100,S06,HDWR-0011,2024-02-02,11,1606.87,CAD
100,S05,TIRE-0024,2024-02-02,21,9596.46,CAD
100,S01,FEED-0014,2024-02-02,7,2649.94,CAD
100,S03,FEED-0057,2024-02-02,3,1452.55,CAD
100,S01,TIRE-0008,2024-02-02,14,4676.63,CAD
100,S02,SEED-0004,2024-02-03,12,4397.48,CAD
100,S01,FUEL-0017,2024-02-03,9,543.42,CAD
100,S06,SEED-0020,2024-02-03,15,5935.21,CAD
100,S03,LUBE-0048,2024-02-03,15,3456.96,CAD
100,S04,HDWR-0047,2024-02-04,18,3795.72,CAD
100,S02,LUBE-0036,2024-02-04,19,1770.6,CAD
100,S04,HDWR-0067,2024-02-04,17,230.05,CAD
100,S01,HDWR-0018,2024-02-05,3,183.78,CAD
100,S06,TIRE-0012,2024-02-05,22,3960.68,CAD
100,S06,SEED-0041,2024-02-05,8,1077.08,CAD
100,S02,FUEL-0066,2024-02-05,13,2830.75,CAD
100,S02,HDWR-0018,2024-02-05,18,1136.44,CAD
100,S04,LUBE-0048,2024-02-05,16,4443.3,CAD
100,S04,FUEL-0017,2024-02-06,3,213.36,CAD
100,S02,HDWR-0067,2024-02-06,17,195.22,CAD
100,S01,LUBE-0037,2024-02-06,34,4479.31,CAD
100,S05,TIRE-0012,2024-02-06,27,4471.64,CAD
100,S06,LUBE-0034,2024-02-06,26,12247.6,CAD
100,S04,TIRE-0021,2024-02-06,22,1659.98,CAD
100,S02,HDWR-0060,2024-02-07,15,4848.16,CAD
100,S06,SEED-0041,2024-02-07,10,1510.66,CAD
100,S04,TIRE-0045,2024-02-07,22,10735.32,CAD
100,S02,SEED-0041,2024-02-07,11,1450.3,CAD
100,S04,LUBE-0035,2024-02-07,18,824.76,CAD
100,S05,LUBE-0050,2024-02-07,21,6384.25,CAD
100,S02,FUEL-0025,2024-02-07,2,638.95,CAD
100,S04,LUBE-0065,2024-02-07,18,3914.73,CAD
100,S01,FUEL-0046,2024-02-07,25,3435.96,CAD
100,S01,HDWR-0052,2024-02-08,13,6480.64,CAD
100,S04,LUBE-0010,2024-02-08,16,6183.84,CAD
100,S02,FEED-0016,2024-02-08,19,11246.07,CAD
100,S03,FUEL-0051,2024-02-08,19,8747.59,CAD
100,S04,FUEL-0066,2024-02-08,15,3282.08,CAD
100,S03,LUBE-0048,2024-02-08,15,4027.42,CAD
100,S05,FEED-0054,2024-02-08,6,1874.93,CAD
100,S06,LUBE-0034,2024-02-09,20,10461.58,CAD
100,S05,HDWR-0022,2024-02-09,11,633.4,CAD
100,S06,FUEL-0019,2024-02-09,10,3099.34,CAD
100,S06,FEED-0074,2024-02-09,9,1798.17,CAD
100,S06,TIRE-0008,2024-02-09,11,3294.29,CAD
100,S05,LUBE-0027,2024-02-09,13,1734.09,CAD
100,S02,SEED-0041,2024-02-09,13,1710.73,CAD
100,S03,LUBE-0039,2024-02-09,16,6407.68,CAD
100,S05,FEED-0016,2024-02-10,7,4148.44,CAD
100,S04,TIRE-0045,2024-02-11,23,11511.52,CAD
100,S06,FUEL-0072,2024-02-11,30,12960.99,CAD
100,S06,FEED-0029,2024-02-11,10,4393.83,CAD
100,S04,SEED-0013,2024-02-12,7,3064.13,CAD
100,S01,HDWR-0018,2024-02-12,24,1684.96,CAD
100,S03,SEED-0042,2024-02-12,4,1565.53,CAD
100,S01,FUEL-0023,2024-02-12,15,7758.22,CAD
100,S04,FUEL-0051,2024-02-12,22,9962.08,CAD
100,S01,HDWR-0038,2024-02-12,28,5169.05,CAD
100,S06,TIRE-0021,2024-02-12,18,1374.84,CAD
100,S06,FEED-0033,2024-02-13,11,4389.91,CAD
100,S06,TIRE-0073,2024-02-13,28,10095.39,CAD
100,S04,TIRE-0012,2024-02-13,10,1668.64,CAD
100,S02,TIRE-0024,2024-02-13,1,418.46,CAD
100,S02,LUBE-0050,2024-02-13,20,6129.52,CAD
100,S03,LUBE-0035,2024-02-13,14,588.9,CAD
100,S06,TIRE-0008,2024-02-13,22,7130.67,CAD
100,S04,LUBE-0048,2024-02-13,13,3567.47,CAD
100,S04,LUBE-0068,2024-02-14,9,4349.21,CAD
100,S05,LUBE-0026,2024-02-14,26,1251.69,CAD
100,S03,HDWR-0022,2024-02-14,22,1215.23,CAD
100,S04,FEED-0054,2024-02-14,9,2594.79,CAD
100,S04,FUEL-0072,2024-02-14,15,6001.84,CAD
100,S06,LUBE-0001,2024-02-14,12,774.72,CAD
100,S01,LUBE-0010,2024-02-14,8,3123.48,CAD
100,S01,TIRE-0008,2024-02-14,23,8685.87,CAD
100,S04,LUBE-0048,2024-02-15,3,742.42,CAD
100,S06,HDWR-0011,2024-02-15,22,3189.52,CAD
100,S01,FEED-0029,2024-02-15,9,4226.63,CAD
100,S02,FUEL-0049,2024-02-15,18,1438.14,CAD
100,S06,TIRE-0005,2024-02-15,7,441.14,CAD
100,S02,FEED-0003,2024-02-15,11,860.28,CAD
100,S05,SEED-0013,2024-02-15,13,5723.69,CAD
100,S02,SEED-0007,2024-02-15,9,1223.97,CAD
100,S04,HDWR-0052,2024-02-15,18,9733.56,CAD
100,S02,TIRE-0008,2024-02-15,22,7330.36,CAD
100,S02,HDWR-0038,2024-02-16,22,4464.41,CAD
100,S06,TIRE-0077,2024-02-16,7,1401.67,CAD
100,S01,LUBE-0036,2024-02-16,17,1762.32,CAD
100,S06,TIRE-0076,2024-02-16,26,12797.69,CAD
100,S06,TIRE-0045,2024-02-16,12,6030.51,CAD
100,S02,FUEL-0049,2024-02-16,24,2188.58,CAD
100,S05,FEED-0054,2024-02-16,5,1320.38,CAD
100,S06,HDWR-0043,2024-02-16,16,2174.0,CAD
100,S03,HDWR-0058,2024-02-16,27,8142.25,CAD
100,S04,LUBE-0035,2024-02-16,24,1223.65,CAD
100,S03,HDWR-0043,2024-02-17,19,3276.02,CAD
100,S02,FUEL-0051,2024-02-18,12,4997.05,CAD
100,S03,LUBE-0034,2024-02-18,23,11819.41,CAD
100,S01,HDWR-0053,2024-02-19,13,2395.27,CAD
100,S05,LUBE-0034,2024-02-19,16,9179.53,CAD
100,S06,FEED-0075,2024-02-19,7,1996.3,CAD
100,S02,HDWR-0059,2024-02-19,17,3287.51,CAD
100,S04,LUBE-0001,2024-02-19,24,1479.66,CAD
100,S01,SEED-0020,2024-02-19,12,4439.89,CAD
100,S03,HDWR-0059,2024-02-19,27,6496.44,CAD
100,S01,FEED-0003,2024-02-20,5,368.72,CAD
100,S01,LUBE-0037,2024-02-20,7,971.58,CAD
100,S05,SEED-0013,2024-02-20,10,4198.73,CAD
100,S01,FUEL-0051,2024-02-20,13,5432.57,CAD
100,S04,TIRE-0012,2024-02-20,6,924.38,CAD
100,S04,SEED-0071,2024-02-20,9,3899.43,CAD
100,S06,SEED-0056,2024-02-20,9,895.74,CAD
100,S01,HDWR-0006,2024-02-21,15,416.16,CAD
100,S05,HDWR-0011,2024-02-21,25,3429.95,CAD
100,S01,TIRE-0045,2024-02-21,22,9315.84,CAD
100,S05,SEED-0078,2024-02-21,10,791.74,CAD
100,S02,SEED-0056,2024-02-21,6,490.05,CAD
100,S03,HDWR-0011,2024-02-22,24,3197.51,CAD
100,S01,FEED-0014,2024-02-22,12,4432.93,CAD
100,S01,LUBE-0035,2024-02-22,18,786.52,CAD
100,S04,TIRE-0024,2024-02-22,9,4250.8,CAD
100,S01,SEED-0004,2024-02-22,10,3577.57,CAD
100,S05,TIRE-0012,2024-02-22,12,1851.93,CAD
100,S04,HDWR-0038,2024-02-22,14,2898.06,CAD
100,S06,HDWR-0011,2024-02-22,30,4364.31,CAD
100,S05,FEED-0074,2024-02-22,4,765.56,CAD
100,S03,HDWR-0018,2024-02-22,15,820.23,CAD
100,S03,SEED-0056,2024-02-22,12,1082.94,CAD
100,S01,SEED-0062,2024-02-22,3,1193.07,CAD
100,S02,FUEL-0079,2024-02-22,30,14262.77,CAD
100,S04,LUBE-0001,2024-02-23,13,987.06,CAD
100,S04,HDWR-0043,2024-02-23,26,3815.87,CAD
100,S04,FUEL-0023,2024-02-23,23,11020.85,CAD
100,S05,SEED-0063,2024-02-23,8,3238.72,CAD
100,S04,LUBE-0036,2024-02-23,7,655.05,CAD
100,S06,FEED-0033,2024-02-23,7,2337.78,CAD
100,S04,SEED-0055,2024-02-23,18,7430.52,CAD
100,S05,HDWR-0052,2024-02-23,27,13288.58,CAD
100,S06,HDWR-0022,2024-02-24,21,1139.31,CAD
100,S01,SEED-0056,2024-02-25,5,398.78,CAD
100,S02,LUBE-0034,2024-02-25,9,4711.39,CAD
100,S02,FEED-0074,2024-02-25,8,1660.01,CAD
100,S04,SEED-0004,2024-02-25,6,1992.06,CAD
100,S01,FEED-0054,2024-02-26,15,3827.77,CAD
100,S03,FEED-0040,2024-02-26,14,5213.79,CAD
100,S05,LUBE-0027,2024-02-26,10,1301.89,CAD
100,S01,LUBE-0039,2024-02-26,19,7896.81,CAD
100,S06,HDWR-0022,2024-02-26,18,857.87,CAD
100,S04,FUEL-0072,2024-02-26,22,11434.6,CAD
100,S06,HDWR-0052,2024-02-26,22,10604.82,CAD
100,S06,SEED-0004,2024-02-26,13,5000.08,CAD
100,S04,LUBE-0026,2024-02-26,12,604.32,CAD
100,S03,LUBE-0027,2024-02-26,14,1983.97,CAD
100,S03,HDWR-0047,2024-02-26,12,2443.82,CAD
100,S03,FUEL-0015,2024-02-27,14,2516.75,CAD
100,S05,SEED-0041,2024-02-27,5,644.89,CAD
100,S05,FUEL-0051,2024-02-27,22,8925.64,CAD
100,S06,FUEL-0023,2024-02-27,22,10572.23,CAD
100,S05,LUBE-0039,2024-02-27,9,3234.33,CAD
100,S03,LUBE-0031,2024-02-27,12,4903.84,CAD
100,S06,LUBE-0048,2024-02-27,22,5786.12,CAD
100,S04,FEED-0074,2024-02-27,11,2267.93,CAD
100,S06,FUEL-0069,2024-02-27,32,15452.84,CAD
100,S02,LUBE-0037,2024-02-27,10,1292.56,CAD
100,S02,SEED-0063,2024-02-27,4,1375.26,CAD
100,S04,FEED-0057,2024-02-27,6,2367.55,CAD
100,S01,TIRE-0073,2024-02-28,19,5567.29,CAD
100,S02,LUBE-0037,2024-02-28,13,1982.76,CAD
100,S05,LUBE-0035,2024-02-28,9,477.01,CAD
100,S05,HDWR-0047,2024-02-28,18,4244.05,CAD
100,S02,FEED-0070,2024-02-28,8,2564.78,CAD
100,S03,HDWR-0058,2024-02-28,12,3792.06,CAD
100,S02,LUBE-0031,2024-02-28,26,12908.43,CAD
100,S06,TIRE-0076,2024-02-28,11,5728.97,CAD
100,S02,HDWR-0018,2024-02-28,26,1757.75,CAD
100,S03,HDWR-0022,2024-02-28,14,834.26,CAD
100,S03,HDWR-0038,2024-02-29,2,428.99,CAD
100,S04,HDWR-0018,2024-02-29,37,2535.53,CAD
100,S06,FUEL-0017,2024-02-29,7,502.23,CAD
100,S02,FEED-0032,2024-02-29,7,1566.4,CAD
100,S03,TIRE-0064,2024-02-29,29,11377.58,CAD
100,S01,HDWR-0059,2024-03-01,19,4637.04,CAD
100,S02,SEED-0055,2024-03-01,30,13773.96,CAD
100,S02,LUBE-0039,2024-03-01,17,7110.6,CAD
100,S06,FUEL-0051,2024-03-01,14,5323.91,CAD
100,S02,LUBE-0001,2024-03-01,14,906.09,CAD
100,S04,FUEL-0017,2024-03-01,1,57.4,CAD
100,S01,LUBE-0050,2024-03-02,17,5014.76,CAD
100,S01,TIRE-0073,2024-03-02,9,3121.67,CAD
100,S06,TIRE-0045,2024-03-02,20,10711.32,CAD
100,S06,FUEL-0079,2024-03-03,29,13727.55,CAD
100,S04,TIRE-0045,2024-03-03,20,9102.65,CAD
100,S02,HDWR-0018,2024-03-03,17,1073.12,CAD
100,S06,HDWR-0038,2024-03-04,32,7697.33,CAD
100,S04,TIRE-0064,2024-03-04,23,8471.45,CAD
100,S04,FUEL-0017,2024-03-04,14,1003.13,CAD
100,S01,TIRE-0009,2024-03-04,17,1745.35,CAD
100,S06,HDWR-0011,2024-03-04,17,2206.04,CAD
100,S02,FUEL-0079,2024-03-04,16,7720.72,CAD
100,S05,FUEL-0051,2024-03-05,9,3879.75,CAD
100,S03,TIRE-0009,2024-03-05,8,986.62,CAD
100,S05,HDWR-0059,2024-03-05,19,4204.18,CAD
100,S06,FEED-0040,2024-03-05,15,5060.09,CAD
100,S04,TIRE-0021,2024-03-05,26,2166.15,CAD
100,S06,FUEL-0017,2024-03-05,19,1370.16,CAD
100,S03,SEED-0055,2024-03-05,11,5167.95,CAD
100,S03,FUEL-0066,2024-03-05,31,6845.3,CAD
100,S06,SEED-0071,2024-03-06,18,9151.41,CAD
100,S02,SEED-0042,2024-03-06,7,2895.29,CAD
100,S05,LUBE-0010,2024-03-06,23,8566.07,CAD
100,S01,HDWR-0052,2024-03-06,15,8138.36,CAD
100,S01,HDWR-0059,2024-03-06,12,2484.02,CAD
100,S05,HDWR-0038,2024-03-06,20,3968.25,CAD
100,S05,LUBE-0048,2024-03-06,6,1737.83,CAD
100,S01,SEED-0020,2024-03-06,8,3594.32,CAD
100,S02,SEED-0004,2024-03-07,7,2749.7,CAD
100,S03,LUBE-0002,2024-03-07,15,2038.97,CAD
100,S06,FUEL-0019,2024-03-07,17,5252.03,CAD
100,S02,LUBE-0065,2024-03-07,20,3998.27,CAD
100,S05,TIRE-0076,2024-03-07,27,12176.28,CAD
100,S06,FUEL-0051,2024-03-07,21,8507.74,CAD
100,S01,HDWR-0030,2024-03-07,12,2146.25,CAD
100,S05,HDWR-0018,2024-03-07,20,1226.72,CAD
100,S04,SEED-0041,2024-03-07,18,2143.87,CAD
100,S02,FUEL-0046,2024-03-08,10,1364.11,CAD
100,S02,TIRE-0012,2024-03-08,20,3459.4,CAD
100,S06,LUBE-0039,2024-03-08,17,7041.92,CAD
