snapshot_date,site_id,sku,quantity_on_hand,min_level,max_level
2024-01-31,S02,FUEL-0025,59,25,116
2024-01-31,S03,FUEL-0025,37,10,153
2024-01-31,S05,FUEL-0025,26,23,72
2024-01-31,S06,FUEL-0025,45,25,88
2024-01-31,S01,LUBE-0026,63,28,94
2024-01-31,S02,LUBE-0026,99,38,196
2024-01-31,S04,LUBE-0026,96,30,140
2024-01-31,S05,LUBE-0026,46,16,69
2024-01-31,S01,LUBE-0027,80,36,141
2024-01-31,S04,LUBE-0027,45,13,164
2024-01-31,S05,LUBE-0027,112,21,169
2024-01-31,S06,LUBE-0027,107,14,120
2024-01-31,S01,FUEL-0028,65,17,139
2024-01-31,S02,FUEL-0028,29,10,83
2024-01-31,S03,FUEL-0028,127,23,126
2024-01-31,S04,FUEL-0028,79,32,121
2024-01-31,S06,FUEL-0028,100,6,100
2024-01-31,S02,FEED-0029,107,7,129
2024-01-31,S03,FEED-0029,40,15,135
2024-01-31,S04,FEED-0029,61,6,108
2024-01-31,S05,FEED-0029,129,35,129
2024-01-31,S06,FEED-0029,106,14,127
2024-01-31,S03,HDWR-0030,44,10,69
2024-01-31,S04,HDWR-0030,93,19,116
2024-01-31,S05,HDWR-0030,135,28,179
2024-01-31,S06,HDWR-0030,76,32,107
2024-01-31,S01,LUBE-0031,145,32,168
2024-01-31,S04,LUBE-0031,39,14,50
2024-01-31,S05,LUBE-0031,0,10,92
2024-01-31,S02,FEED-0032,58,40,78
2024-01-31,S04,FEED-0032,10,8,55
2024-01-31,S06,FEED-0032,32,17,76
2024-01-31,S01,FEED-0033,25,11,50
2024-01-31,S04,FEED-0033,44,18,72
2024-01-31,S05,FEED-0033,62,14,103
2024-01-31,S06,FEED-0033,27,36,79
2024-01-31,S01,LUBE-0034,172,9,162
2024-01-31,S03,LUBE-0034,59,10,69
2024-01-31,S04,LUBE-0034,148,35,139
2024-01-31,S03,LUBE-0035,82,20,119
2024-01-31,S04,LUBE-0035,0,21,145
2024-01-31,S06,LUBE-0035,146,35,165
2024-01-31,S02,LUBE-0036,65,36,182
2024-01-31,S03,LUBE-0036,97,34,102
2024-01-31,S05,LUBE-0036,18,18,78
2024-01-31,S06,LUBE-0036,80,37,86
2024-01-31,S02,LUBE-0037,70,8,118
2024-01-31,S03,LUBE-0037,5,6,84
2024-01-31,S04,LUBE-0037,95,29,111
2024-01-31,S05,LUBE-0037,78,5,123
2024-01-31,S06,LUBE-0037,164,22,155
2024-01-31,S01,HDWR-0038,44,30,122
2024-01-31,S02,HDWR-0038,66,13,106
2024-01-31,S05,HDWR-0038,65,38,70
2024-01-31,S06,HDWR-0038,58,36,82
2024-01-31,S01,LUBE-0039,65,20,96
2024-01-31,S05,LUBE-0039,74,26,181
2024-01-31,S06,LUBE-0039,129,38,117
2024-01-31,S01,FEED-0040,20,15,107
2024-01-31,S03,FEED-0040,54,16,82
2024-01-31,S04,FEED-0040,47,25,91
2024-01-31,S02,SEED-0041,24,18,77
2024-01-31,S03,SEED-0041,75,31,67
2024-01-31,S04,SEED-0041,44,15,105
2024-01-31,S05,SEED-0041,49,39,121
2024-01-31,S06,SEED-0041,42,17,84
2024-01-31,S01,SEED-0042,73,39,73
2024-01-31,S02,SEED-0042,107,33,156
2024-01-31,S03,SEED-0042,128,31,168
2024-01-31,S04,SEED-0042,68,35,133
2024-01-31,S01,HDWR-0043,27,13,52
2024-01-31,S03,HDWR-0043,123,33,186
2024-01-31,S04,HDWR-0043,42,12,108
2024-01-31,S05,HDWR-0043,82,12,110
2024-01-31,S02,FEED-0044,59,39,97
2024-01-31,S03,FEED-0044,8,9,57
2024-01-31,S04,FEED-0044,74,29,89
2024-01-31,S01,TIRE-0045,60,10,82
2024-01-31,S02,TIRE-0045,30,6,121
2024-01-31,S04,TIRE-0045,90,21,95
2024-01-31,S05,TIRE-0045,45,37,130
2024-01-31,S06,TIRE-0045,157,19,176
2024-01-31,S01,FUEL-0046,47,22,58
2024-01-31,S02,FUEL-0046,140,25,126
2024-01-31,S03,FUEL-0046,97,27,162
2024-01-31,S01,HDWR-0047,58,31,96
2024-01-31,S03,HDWR-0047,96,19,145
2024-01-31,S01,LUBE-0048,44,33,116
2024-01-31,S02,LUBE-0048,40,38,127
2024-01-31,S03,LUBE-0048,82,25,170
2024-01-31,S05,LUBE-0048,114,17,113
2024-01-31,S06,LUBE-0048,103,31,153
2024-01-31,S04,FUEL-0049,39,21,55
2024-01-31,S05,FUEL-0049,150,40,139
2024-01-31,S01,LUBE-0050,182,35,183
2024-01-31,S03,LUBE-0050,95,26,141
2024-01-31,S04,LUBE-0050,84,12,120
2024-01-31,S05,LUBE-0050,34,23,152
2024-01-31,S06,LUBE-0050,88,26,131
2024-01-31,S01,FUEL-0051,107,35,155
2024-01-31,S02,FUEL-0051,55,13,164
2024-01-31,S03,FUEL-0051,124,12,148
2024-01-31,S04,FUEL-0051,92,9,153
2024-01-31,S05,FUEL-0051,108,23,134
2024-01-31,S06,FUEL-0051,43,19,129
2024-01-31,S01,HDWR-0052,36,40,128
2024-01-31,S02,HDWR-0052,116,32,133
2024-01-31,S03,HDWR-0052,21,10,51
2024-01-31,S05,HDWR-0052,82,34,90
2024-01-31,S01,HDWR-0053,149,33,166
2024-01-31,S02,HDWR-0053,56,20,60
2024-01-31,S03,HDWR-0053,20,24,126
2024-01-31,S05,HDWR-0053,23,23,97
2024-01-31,S06,HDWR-0053,20,20,130
2024-01-31,S01,FEED-0054,34,14,95
2024-01-31,S02,FEED-0054,59,35,156
2024-01-31,S03,FEED-0054,63,36,97
2024-01-31,S05,FEED-0054,70,29,129
2024-01-31,S06,FEED-0054,69,35,89
2024-01-31,S01,SEED-0055,43,9,158
2024-01-31,S02,SEED-0055,136,38,139
2024-01-31,S04,SEED-0055,55,12,71
2024-01-31,S05,SEED-0055,31,12,61
2024-01-31,S01,SEED-0056,55,10,66
2024-01-31,S02,SEED-0056,119,37,128
2024-01-31,S03,SEED-0056,72,24,98
2024-01-31,S04,SEED-0056,120,24,179
2024-01-31,S05,SEED-0056,157,38,154
2024-01-31,S06,SEED-0056,12,16,107
2024-01-31,S01,FEED-0057,102,23,179
2024-01-31,S02,FEED-0057,0,8,158
2024-01-31,S03,FEED-0057,48,26,118
2024-01-31,S05,FEED-0057,41,15,67
2024-01-31,S06,FEED-0057,3,6,77
2024-01-31,S01,HDWR-0058,45,30,183
2024-01-31,S02,HDWR-0058,71,30,165
2024-01-31,S03,HDWR-0058,36,14,154
2024-01-31,S05,HDWR-0058,161,28,175
2024-01-31,S02,HDWR-0059,106,38,102
2024-01-31,S05,HDWR-0059,48,35,67
2024-01-31,S06,HDWR-0059,112,6,150
2024-01-31,S01,HDWR-0060,85,8,144
2024-01-31,S02,HDWR-0060,92,32,119
2024-01-31,S03,HDWR-0060,82,7,97
2024-01-31,S01,TIRE-0061,98,32,187
2024-01-31,S02,TIRE-0061,28,16,150
2024-01-31,S04,TIRE-0061,84,23,121
2024-01-31,S05,TIRE-0061,60,32,182
2024-01-31,S06,TIRE-0061,51,22,74
2024-01-31,S01,SEED-0062,43,33,132
2024-01-31,S02,SEED-0062,53,27,57
2024-01-31,S02,SEED-0063,32,30,117
2024-01-31,S05,SEED-0063,122,21,139
2024-01-31,S06,SEED-0063,125,19,110
2024-01-31,S02,TIRE-0064,83,7,155
2024-01-31,S03,TIRE-0064,0,7,134
2024-01-31,S06,TIRE-0064,44,14,82
2024-01-31,S01,LUBE-0065,63,12,74
2024-01-31,S03,LUBE-0065,72,35,71
2024-01-31,S04,LUBE-0065,113,18,150
2024-01-31,S05,LUBE-0065,83,31,114
2024-01-31,S01,FUEL-0066,71,13,81
2024-01-31,S02,FUEL-0066,150,27,159
2024-01-31,S03,FUEL-0066,110,34,99
2024-01-31,S04,FUEL-0066,82,19,176
2024-01-31,S05,FUEL-0066,35,18,74
2024-01-31,S01,HDWR-0067,78,35,78
2024-01-31,S03,HDWR-0067,40,21,59
2024-01-31,S05,HDWR-0067,82,22,102
2024-01-31,S02,LUBE-0068,132,37,120
2024-01-31,S03,LUBE-0068,17,28,160
2024-01-31,S05,LUBE-0068,34,40,73
2024-01-31,S03,FUEL-0069,37,28,87
2024-01-31,S04,FUEL-0069,57,39,73
2024-01-31,S05,FUEL-0069,44,29,134
2024-01-31,S01,FEED-0070,61,14,68
2024-01-31,S02,FEED-0070,40,39,125
2024-01-31,S03,FEED-0070,74,6,118
2024-01-31,S06,FEED-0070,42,17,156
2024-01-31,S02,SEED-0071,51,13,97
2024-01-31,S03,SEED-0071,18,7,93
2024-01-31,S04,SEED-0071,56,38,123
2024-01-31,S05,SEED-0071,97,10,135
2024-01-31,S06,SEED-0071,100,28,165
2024-01-31,S01,FUEL-0072,41,28,78
2024-01-31,S04,FUEL-0072,39,38,171
2024-01-31,S05,FUEL-0072,54,7,140
2024-01-31,S01,TIRE-0073,43,10,116
2024-01-31,S02,TIRE-0073,109,39,178
2024-01-31,S03,TIRE-0073,37,10,40
2024-01-31,S01,FEED-0074,77,29,102
2024-01-31,S02,FEED-0074,97,30,121
2024-01-31,S03,FEED-0074,99,33,138
2024-01-31,S04,FEED-0074,134,21,137
2024-01-31,S05,FEED-0074,42,23,54
2024-01-31,S01,FEED-0075,141,31,153
2024-01-31,S02,FEED-0075,76,28,108
2024-01-31,S03,FEED-0075,30,7,50
2024-01-31,S05,FEED-0075,34,6,73
2024-01-31,S06,FEED-0075,0,29,155
2024-01-31,S02,TIRE-0076,69,15,134
2024-01-31,S03,TIRE-0076,17,16,89
2024-01-31,S04,TIRE-0076,101,18,120
2024-01-31,S05,TIRE-0076,53,9,148
2024-01-31,S06,TIRE-0076,27,5,59
2024-01-31,S02,TIRE-0077,92,32,163
2024-01-31,S03,TIRE-0077,102,6,149
2024-01-31,S06,TIRE-0077,123,33,113
2024-01-31,S01,SEED-0078,54,37,158
2024-01-31,S03,SEED-0078,40,32,76
2024-01-31,S04,SEED-0078,0,6,86
2024-01-31,S06,SEED-0078,57,28,85
2024-01-31,S02,FUEL-0079,75,36,129
2024-01-31,S03,FUEL-0079,39,24,119
2024-01-31,S04,FUEL-0079,13,18,107
2024-01-31,S05,FUEL-0079,47,25,88
2024-01-31,S06,FUEL-0079,36,6,120
2024-01-31,S01,FUEL-0080,94,40,118
2024-01-31,S02,FUEL-0080,35,24,169
2024-01-31,S03,FUEL-0080,142,39,197
2024-01-31,S05,FUEL-0080,41,20,117
2024-01-31,S06,FUEL-0080,97,25,109
2024-01-31,S01,FEED-0081,64,30,100
2024-01-31,S03,FEED-0081,67,29,130
2024-01-31,S04,FEED-0081,88,15,112
2024-01-31,S05,FEED-0081,62,27,121
2024-01-31,S06,FEED-0081,79,26,101
2024-01-31,S02,SEED-0082,51,7,97
2024-01-31,S03,SEED-0082,21,9,40
2024-01-31,S06,SEED-0082,96,29,168
2024-01-31,S03,HDWR-0083,49,18,170
2024-01-31,S04,HDWR-0083,47,12,62
2024-01-31,S05,HDWR-0083,70,16,91
2024-01-31,S06,HDWR-0083,113,20,153
2024-01-31,S01,TIRE-0084,76,27,161
2024-01-31,S02,TIRE-0084,6,7,47
2024-01-31,S03,TIRE-0084,43,24,85
2024-01-31,S05,TIRE-0084,163,39,175
2024-01-31,S06,TIRE-0084,50,30,60
2024-01-31,S02,FEED-0085,52,6,78
2024-01-31,S03,FEED-0085,75,35,114
2024-01-31,S04,FEED-0085,27,6,53
2024-01-31,S01,TIRE-0086,68,34,88
2024-01-31,S02,TIRE-0086,67,8,136
2024-01-31,S03,TIRE-0086,15,10,115
2024-01-31,S05,TIRE-0086,33,28,67
2024-01-31,S06,TIRE-0086,29,26,86
2024-01-31,S01,TIRE-0087,55,19,154
2024-01-31,S02,TIRE-0087,18,10,168
2024-01-31,S01,HDWR-0088,67,18,89
2024-01-31,S02,HDWR-0088,192,40,163
2024-01-31,S03,HDWR-0088,61,32,83
2024-01-31,S05,HDWR-0088,63,18,83
2024-01-31,S06,HDWR-0088,53,15,79
2024-01-31,S02,TIRE-0089,24,21,61
2024-01-31,S03,TIRE-0089,25,35,83
2024-01-31,S04,TIRE-0089,69,35,191
2024-01-31,S05,TIRE-0089,111,33,128
2024-01-31,S06,TIRE-0089,147,29,161
2024-01-31,S01,LUBE-0090,126,16,152
2024-01-31,S02,LUBE-0090,15,13,51
2024-01-31,S03,LUBE-0090,23,28,76
2024-01-31,S04,LUBE-0090,66,36,89
2024-01-31,S05,LUBE-0090,41,9,59
2024-01-31,S06,LUBE-0090,85,13,101
2024-01-31,S01,FUEL-0091,32,19,99
2024-01-31,S04,FUEL-0091,14,37,193
2024-01-31,S06,FUEL-0091,27,19,78
2024-01-31,S01,LUBE-0092,29,26,166
2024-01-31,S02,LUBE-0092,22,11,46
2024-01-31,S03,LUBE-0092,40,29,86
2024-01-31,S04,LUBE-0092,65,23,144
2024-01-31,S02,HDWR-0093,110,18,156
2024-01-31,S03,HDWR-0093,27,11,44
2024-01-31,S05,HDWR-0093,65,31,71
2024-01-31,S06,HDWR-0093,43,36,92
2024-01-31,S02,HDWR-0094,79,40,130
2024-01-31,S04,HDWR-0094,61,27,64
2024-01-31,S05,HDWR-0094,102,5,120
2024-01-31,S01,FEED-0095,19,34,131
2024-01-31,S03,FEED-0095,66,40,126
2024-01-31,S04,FEED-0095,29,27,67
2024-01-31,S05,FEED-0095,80,14,114
2024-01-31,S06,FEED-0095,67,6,110
2024-01-31,S01,SEED-0096,130,34,177
2024-01-31,S02,SEED-0096,78,39,142
2024-01-31,S03,SEED-0096,76,29,80
2024-01-31,S06,SEED-0096,35,23,179
2024-01-31,S02,FEED-0097,43,30,91
2024-01-31,S03,FEED-0097,99,38,149
2024-01-31,S04,FEED-0097,90,5,69
2024-01-31,S05,FEED-0097,74,33,162
2024-01-31,S01,SEED-0098,64,29,94
2024-01-31,S02,SEED-0098,26,17,125
2024-01-31,S03,SEED-0098,74,13,112
2024-01-31,S04,SEED-0098,59,31,184
2024-01-31,S05,SEED-0098,60,12,143
2024-01-31,S06,SEED-0098,103,36,141
2024-01-31,S03,LUBE-0099,76,36,99
2024-01-31,S03,SEED-0100,67,29,67
2024-01-31,S06,SEED-0100,122,24,153
2024-01-31,S02,FUEL-0101,36,8,124
2024-01-31,S03,FUEL-0101,138,5,127
2024-01-31,S05,FUEL-0101,23,17,77
2024-01-31,S06,FUEL-0101,157,28,163
2024-01-31,S01,FEED-0102,75,19,122
2024-01-31,S02,FEED-0102,79,20,88
2024-01-31,S04,FEED-0102,101,14,113
2024-01-31,S05,FEED-0102,51,19,76
2024-01-31,S06,FEED-0102,33,9,110
2024-01-31,S01,HDWR-0103,75,39,193
2024-01-31,S02,HDWR-0103,88,17,166
2024-01-31,S03,HDWR-0103,61,35,103
2024-01-31,S04,HDWR-0103,24,11,70
2024-01-31,S05,HDWR-0103,73,38,105
2024-01-31,S06,HDWR-0103,74,38,88
2024-01-31,S01,FEED-0104,30,5,45
2024-01-31,S04,FEED-0104,40,27,175
2024-01-31,S05,FEED-0104,62,32,117
2024-01-31,S06,FEED-0104,48,23,141
2024-01-31,S01,TIRE-0105,75,31,115
2024-01-31,S02,TIRE-0105,53,39,105
2024-01-31,S04,TIRE-0105,62,36,104
2024-01-31,S06,TIRE-0105,102,17,130
2024-01-31,S02,FEED-0106,54,38,115
2024-01-31,S03,FEED-0106,67,21,137
2024-01-31,S04,FEED-0106,49,40,117
2024-01-31,S01,HDWR-0107,92,32,159
2024-01-31,S02,HDWR-0107,0,7,69
2024-01-31,S04,HDWR-0107,77,37,181
2024-01-31,S06,HDWR-0107,75,8,158
2024-01-31,S01,SEED-0108,97,18,147
2024-01-31,S02,SEED-0108,23,17,73
2024-01-31,S05,SEED-0108,144,7,160
2024-01-31,S06,SEED-0108,63,10,105
2024-01-31,S02,FUEL-0109,36,5,134
2024-01-31,S04,FUEL-0109,22,27,93
2024-01-31,S05,FUEL-0109,40,24,144
2024-01-31,S06,FUEL-0109,94,24,123
2024-01-31,S01,HDWR-0110,56,35,89
2024-01-31,S02,HDWR-0110,75,28,116
2024-01-31,S04,HDWR-0110,86,33,105
2024-01-31,S05,HDWR-0110,69,34,71
2024-01-31,S06,HDWR-0110,93,24,111
2024-01-31,S02,SEED-0111,93,36,159
2024-01-31,S03,SEED-0111,51,40,175
2024-01-31,S04,SEED-0111,220,38,197
2024-01-31,S05,SEED-0111,66,8,71
2024-01-31,S01,LUBE-0112,63,14,171
2024-01-31,S02,LUBE-0112,40,19,81
2024-01-31,S03,LUBE-0112,52,23,64
2024-01-31,S01,HDWR-0113,38,21,61
2024-01-31,S02,HDWR-0113,47,33,66
2024-01-31,S05,HDWR-0113,99,38,123
2024-01-31,S06,HDWR-0113,93,40,188
2024-01-31,S01,SEED-0114,47,21,52
2024-01-31,S02,SEED-0114,19,19,152
2024-01-31,S03,SEED-0114,150,27,159
2024-01-31,S05,SEED-0114,118,33,159
2024-01-31,S06,SEED-0114,71,40,109
2024-01-31,S02,FEED-0115,98,39,101
2024-01-31,S04,FEED-0115,98,31,103
2024-01-31,S05,FEED-0115,116,21,163
2024-01-31,S06,FEED-0115,73,18,98
2024-01-31,S01,FEED-0116,0,24,146
2024-01-31,S02,FEED-0116,0,15,54
2024-01-31,S03,FEED-0116,129,30,161
2024-01-31,S04,FEED-0116,48,19,73
2024-01-31,S01,FUEL-0117,14,18,135
2024-01-31,S02,FUEL-0117,62,40,93
2024-01-31,S04,FUEL-0117,77,24,164
2024-01-31,S01,SEED-0118,117,20,169
2024-01-31,S02,SEED-0118,85,10,161
2024-01-31,S03,SEED-0118,73,19,145
2024-01-31,S05,SEED-0118,26,11,62
2024-01-31,S06,SEED-0118,28,28,153
2024-01-31,S01,TIRE-0119,73,21,93
2024-01-31,S02,TIRE-0119,51,17,73
2024-01-31,S04,TIRE-0119,55,17,147
2024-01-31,S05,TIRE-0119,149,34,173
2024-01-31,S06,TIRE-0119,88,35,189
2024-01-31,S01,LUBE-0120,64,32,80
2024-01-31,S03,LUBE-0120,84,10,164
2024-01-31,S04,LUBE-0120,53,19,55
2024-01-31,S05,LUBE-0120,118,39,145
2024-01-31,S06,LUBE-0120,100,17,98
2024-02-29,S01,LUBE-0001,97,5,160
2024-02-29,S02,LUBE-0001,26,7,61
2024-02-29,S01,LUBE-0002,84,24,126
2024-02-29,S02,LUBE-0002,85,36,106
2024-02-29,S03,LUBE-0002,56,21,54
2024-02-29,S04,LUBE-0002,75,30,84
2024-02-29,S05,LUBE-0002,98,29,123
2024-02-29,S01,FEED-0003,14,10,127
2024-02-29,S02,FEED-0003,14,35,122
2024-02-29,S03,FEED-0003,81,29,177
2024-02-29,S04,FEED-0003,107,29,174
2024-02-29,S05,FEED-0003,35,12,53
2024-02-29,S06,FEED-0003,108,17,164
2024-02-29,S01,SEED-0004,101,8,131
2024-02-29,S02,SEED-0004,199,29,171
2024-02-29,S03,SEED-0004,58,35,91
2024-02-29,S04,SEED-0004,126,28,150
2024-02-29,S06,SEED-0004,83,36,185
2024-02-29,S04,TIRE-0005,70,11,160
2024-02-29,S05,TIRE-0005,40,31,62
2024-02-29,S06,TIRE-0005,77,32,192
2024-02-29,S01,HDWR-0006,154,40,177
2024-02-29,S02,HDWR-0006,45,7,124
2024-02-29,S03,HDWR-0006,57,37,163
2024-02-29,S04,HDWR-0006,128,35,140
2024-02-29,S05,HDWR-0006,9,31,131
2024-02-29,S01,SEED-0007,93,15,142
2024-02-29,S02,SEED-0007,135,32,151
2024-02-29,S03,SEED-0007,22,21,136
2024-02-29,S04,SEED-0007,64,21,118
2024-02-29,S05,SEED-0007,35,10,129
2024-02-29,S06,SEED-0007,146,22,165
2024-02-29,S01,TIRE-0008,43,25,64
2024-02-29,S03,TIRE-0008,84,33,189
2024-02-29,S05,TIRE-0008,65,40,139
2024-02-29,S06,TIRE-0008,25,25,113
2024-02-29,S01,TIRE-0009,98,21,136
2024-02-29,S02,TIRE-0009,60,27,128
2024-02-29,S03,TIRE-0009,34,7,160
2024-02-29,S04,TIRE-0009,73,17,142
2024-02-29,S05,TIRE-0009,53,17,94
2024-02-29,S06,TIRE-0009,64,29,136
2024-02-29,S01,LUBE-0010,54,38,78
2024-02-29,S02,LUBE-0010,56,35,121
2024-02-29,S03,LUBE-0010,59,8,108
2024-02-29,S04,LUBE-0010,56,18,93
2024-02-29,S05,LUBE-0010,38,21,58
2024-02-29,S06,LUBE-0010,93,14,148
2024-02-29,S01,HDWR-0011,56,19,164
2024-02-29,S04,HDWR-0011,55,22,161
2024-02-29,S06,HDWR-0011,99,30,170
2024-02-29,S01,TIRE-0012,51,13,167
2024-02-29,S03,TIRE-0012,116,35,132
2024-02-29,S04,TIRE-0012,60,23,70
2024-02-29,S02,SEED-0013,91,7,160
2024-02-29,S03,SEED-0013,45,25,84
2024-02-29,S04,SEED-0013,56,38,135
2024-02-29,S05,SEED-0013,59,35,116
2024-02-29,S06,SEED-0013,29,20,55
2024-02-29,S03,FEED-0014,88,28,127
2024-02-29,S04,FEED-0014,80,35,118
2024-02-29,S05,FEED-0014,60,27,103
2024-02-29,S06,FEED-0014,140,16,165
2024-02-29,S01,FUEL-0015,104,26,166
2024-02-29,S02,FUEL-0015,169,8,161
2024-02-29,S03,FUEL-0015,70,12,82
2024-02-29,S04,FUEL-0015,163,20,152
2024-02-29,S05,FUEL-0015,27,13,91
2024-02-29,S06,FUEL-0015,37,21,144
2024-02-29,S01,FEED-0016,31,11,94
2024-02-29,S02,FEED-0016,46,20,177
2024-02-29,S04,FEED-0016,59,37,69
2024-02-29,S05,FEED-0016,13,9,50
2024-02-29,S06,FEED-0016,33,28,88
2024-02-29,S01,FUEL-0017,89,32,130
2024-02-29,S02,FUEL-0017,73,18,125
2024-02-29,S03,FUEL-0017,68,22,102
2024-02-29,S04,FUEL-0017,67,27,175
2024-02-29,S06,FUEL-0017,75,26,128
2024-02-29,S02,FUEL-0019,79,37,129
2024-02-29,S03,FUEL-0019,78,29,124
2024-02-29,S04,FUEL-0019,186,38,151
2024-02-29,S05,FUEL-0019,184,37,135
2024-02-29,S06,FUEL-0019,57,40,150
2024-02-29,S01,SEED-0020,38,18,54
2024-02-29,S02,SEED-0020,121,34,159
2024-02-29,S03,SEED-0020,31,26,95
2024-02-29,S05,SEED-0020,73,15,97
2024-02-29,S06,SEED-0020,16,7,70
2024-02-29,S01,TIRE-0021,46,29,109
2024-02-29,S03,TIRE-0021,11,15,107
2024-02-29,S04,TIRE-0021,112,5,97
2024-02-29,S06,TIRE-0021,60,12,132
2024-02-29,S03,HDWR-0022,54,15,51
2024-02-29,S05,HDWR-0022,134,27,112
2024-02-29,S04,FUEL-0023,52,13,52
2024-02-29,S05,FUEL-0023,62,29,91
2024-02-29,S06,FUEL-0023,26,12,50
2024-02-29,S01,TIRE-0024,57,8,126
2024-02-29,S02,TIRE-0024,130,38,159
2024-02-29,S03,TIRE-0024,155,36,180
2024-02-29,S04,TIRE-0024,34,14,113
2024-02-29,S05,TIRE-0024,88,26,139
