SiteId,ItemNumber,InvoiceDate,Quantity,LineAmount,CurrencyCode
S06,FUEL-0066,2024-01-16,10,2279.93,CAD
S02,TIRE-0061,2024-01-16,14,6034.57,CAD
S02,SEED-0096,2024-01-16,7,2508.14,CAD
S05,SEED-0108,2024-01-16,3,1200.31,CAD
S02,LUBE-0112,2024-01-16,11,786.7,CAD
S04,FUEL-0117,2024-01-16,10,2811.12,CAD
S04,FUEL-0109,2024-01-17,16,3375.4,CAD
S04,FUEL-0117,2024-01-17,21,5978.7,CAD
S03,HDWR-0088,2024-01-17,29,15001.16,CAD
S02,FEED-0102,2024-01-17,9,1304.71,CAD
S05,FUEL-0117,2024-01-18,10,2326.64,CAD
S04,HDWR-0103,2024-01-18,23,3198.28,CAD
S05,TIRE-0087,2024-01-18,22,10059.36,CAD
S01,SEED-0062,2024-01-18,5,1737.45,CAD
S03,FEED-0074,2024-01-18,9,2146.93,CAD
S06,HDWR-0088,2024-01-18,33,18568.78,CAD
S03,HDWR-0107,2024-01-18,15,1814.5,CAD
S06,LUBE-0099,2024-01-19,16,596.15,CAD
S06,FEED-0081,2024-01-19,5,2096.78,CAD
S04,FUEL-0101,2024-01-19,24,1041.89,CAD
S03,FUEL-0117,2024-01-19,19,4670.03,CAD
S03,FEED-0104,2024-01-19,12,5099.87,CAD
S01,FUEL-0069,2024-01-19,27,14156.05,CAD
S03,TIRE-0087,2024-01-19,6,3215.48,CAD
S04,FEED-0106,2024-01-20,9,3777.32,CAD
S06,SEED-0096,2024-01-21,9,3125.98,CAD
S04,HDWR-0107,2024-01-21,5,527.65,CAD
S03,TIRE-0089,2024-01-21,6,2294.61,CAD
S02,TIRE-0073,2024-01-22,12,3556.35,CAD
S02,HDWR-0110,2024-01-22,26,13316.59,CAD
S06,FUEL-0101,2024-01-23,17,826.78,CAD
S06,SEED-0063,2024-01-23,8,2655.4,CAD
S05,SEED-0082,2024-01-23,4,255.94,CAD
S03,LUBE-0068,2024-01-23,16,7573.74,CAD
S02,SEED-0114,2024-01-23,2,279.12,CAD
S01,HDWR-0094,2024-01-23,24,1711.23,CAD
S03,FUEL-0072,2024-01-24,14,7124.84,CAD
S01,FUEL-0109,2024-01-24,12,2543.51,CAD
S05,HDWR-0083,2024-01-24,15,5831.36,CAD
S06,TIRE-0119,2024-01-24,20,1145.61,CAD
S03,LUBE-0090,2024-01-24,13,1714.97,CAD
S03,HDWR-0093,2024-01-25,19,8277.49,CAD
S05,FEED-0097,2024-01-25,9,2754.27,CAD
S05,TIRE-0087,2024-01-25,22,10469.88,CAD
S03,TIRE-0086,2024-01-25,24,2437.38,CAD
S04,FUEL-0080,2024-01-26,18,2725.07,CAD
S03,FEED-0116,2024-01-26,3,737.66,CAD
S04,FEED-0081,2024-01-26,3,1473.72,CAD
S05,HDWR-0088,2024-01-26,20,10955.61,CAD
S03,HDWR-0107,2024-01-27,30,3703.27,CAD
S06,SEED-0071,2024-01-28,9,4657.85,CAD
S01,LUBE-0092,2024-01-28,21,7537.46,CAD
S06,FEED-0102,2024-01-29,8,1328.46,CAD
S06,HDWR-0093,2024-01-29,23,12777.33,CAD
S06,TIRE-0084,2024-01-29,26,11425.95,CAD
S03,HDWR-0083,2024-01-29,15,7294.01,CAD
S06,TIRE-0086,2024-01-29,23,2390.02,CAD
S04,LUBE-0099,2024-01-29,21,805.58,CAD
S05,LUBE-0099,2024-01-30,24,1099.92,CAD
S05,SEED-0114,2024-01-30,9,1387.57,CAD
S02,FEED-0116,2024-01-30,14,3188.02,CAD
S04,FEED-0074,2024-01-30,4,815.09,CAD
S01,LUBE-0120,2024-01-30,20,11551.02,CAD
S01,HDWR-0067,2024-01-31,15,170.67,CAD
S02,FUEL-0117,2024-01-31,23,6646.01,CAD
S03,TIRE-0084,2024-01-31,18,7123.58,CAD
S04,HDWR-0107,2024-01-31,14,1658.82,CAD
S03,SEED-0100,2024-01-31,5,2296.75,CAD
S05,TIRE-0064,2024-02-01,8,3369.14,CAD
S03,LUBE-0068,2024-02-01,16,6753.58,CAD
S05,LUBE-0065,2024-02-01,11,2101.02,CAD
S05,LUBE-0099,2024-02-01,27,1206.07,CAD
S04,LUBE-0090,2024-02-01,9,934.55,CAD
S04,SEED-0100,2024-02-01,4,1727.31,CAD
S05,TIRE-0105,2024-02-02,16,5311.96,CAD
S04,SEED-0114,2024-02-02,10,1532.59,CAD
S04,FEED-0115,2024-02-02,7,2194.26,CAD
S04,LUBE-0092,2024-02-02,23,7483.81,CAD
S04,FUEL-0079,2024-02-02,21,9471.15,CAD
S06,SEED-0096,2024-02-02,5,1474.23,CAD
S03,HDWR-0083,2024-02-03,6,2337.1,CAD
S03,SEED-0100,2024-02-04,8,4085.48,CAD
S04,TIRE-0089,2024-02-04,13,4946.12,CAD
S03,FEED-0115,2024-02-05,10,3265.95,CAD
S06,LUBE-0092,2024-02-05,26,10078.39,CAD
S02,SEED-0071,2024-02-05,7,3160.31,CAD
S04,HDWR-0093,2024-02-05,16,7931.75,CAD
S04,LUBE-0099,2024-02-05,19,901.06,CAD
S01,HDWR-0083,2024-02-05,15,6618.92,CAD
S05,HDWR-0088,2024-02-05,9,5110.3,CAD
S05,SEED-0082,2024-02-05,14,718.49,CAD
S06,LUBE-0120,2024-02-06,20,10969.31,CAD
S05,SEED-0082,2024-02-06,8,464.48,CAD
S05,TIRE-0076,2024-02-06,23,12259.89,CAD
S05,SEED-0108,2024-02-06,13,4123.4,CAD
S01,SEED-0111,2024-02-06,16,6382.53,CAD
S04,FEED-0074,2024-02-06,8,1866.87,CAD
S03,HDWR-0083,2024-02-06,16,7125.55,CAD
S06,FEED-0104,2024-02-06,5,2093.03,CAD
S02,SEED-0111,2024-02-07,12,4725.37,CAD
S04,FUEL-0066,2024-02-07,11,2322.49,CAD
S06,TIRE-0084,2024-02-07,20,8343.01,CAD
S01,FUEL-0069,2024-02-07,22,12917.94,CAD
S04,SEED-0098,2024-02-07,5,233.14,CAD
S05,SEED-0098,2024-02-08,7,355.91,CAD
S02,FEED-0097,2024-02-08,5,1492.2,CAD
S05,TIRE-0061,2024-02-08,17,7918.89,CAD
S02,FUEL-0066,2024-02-08,13,2866.77,CAD
S03,FEED-0095,2024-02-08,13,596.1,CAD
S05,LUBE-0065,2024-02-08,7,1273.42,CAD
S01,FEED-0081,2024-02-08,16,7896.98,CAD
S01,HDWR-0093,2024-02-09,6,3021.7,CAD
S02,TIRE-0089,2024-02-09,18,7283.22,CAD
S05,SEED-0100,2024-02-09,15,7915.33,CAD
S03,FUEL-0069,2024-02-09,7,4095.02,CAD
S06,HDWR-0103,2024-02-09,14,1637.78,CAD
S02,SEED-0062,2024-02-09,11,3892.37,CAD
S06,TIRE-0089,2024-02-10,10,4218.71,CAD
S06,LUBE-0120,2024-02-10,18,9204.86,CAD
S03,TIRE-0105,2024-02-10,11,3951.0,CAD
S02,HDWR-0103,2024-02-10,16,2121.16,CAD
S04,SEED-0096,2024-02-11,10,3048.65,CAD
S05,FEED-0095,2024-02-11,9,447.38,CAD
S02,TIRE-0119,2024-02-12,4,277.71,CAD
S06,SEED-0062,2024-02-12,13,4466.45,CAD
S02,FEED-0074,2024-02-12,2,425.43,CAD
S01,LUBE-0120,2024-02-12,21,12670.65,CAD
S05,TIRE-0073,2024-02-12,33,10444.18,CAD
S05,FEED-0070,2024-02-12,15,4227.48,CAD
S05,FUEL-0109,2024-02-12,13,2753.56,CAD
S06,HDWR-0110,2024-02-13,28,13302.01,CAD
S03,TIRE-0084,2024-02-13,28,12404.76,CAD
S06,LUBE-0065,2024-02-13,22,4553.71,CAD
S03,SEED-0082,2024-02-13,7,443.83,CAD
S02,SEED-0062,2024-02-13,10,3700.92,CAD
S06,HDWR-0103,2024-02-13,3,409.31,CAD
S02,SEED-0098,2024-02-14,7,365.95,CAD
S05,SEED-0118,2024-02-14,14,3855.34,CAD
S05,LUBE-0092,2024-02-14,12,4288.39,CAD
S05,FEED-0116,2024-02-14,7,1485.92,CAD
S01,TIRE-0061,2024-02-14,16,6781.39,CAD
S06,HDWR-0094,2024-02-14,22,1867.0,CAD
S05,LUBE-0112,2024-02-15,27,1524.14,CAD
S04,FUEL-0069,2024-02-15,28,14985.23,CAD
S05,HDWR-0093,2024-02-15,1,481.89,CAD
S06,LUBE-0120,2024-02-15,24,14057.36,CAD
S02,HDWR-0113,2024-02-16,26,10161.86,CAD
S05,FUEL-0101,2024-02-16,14,611.11,CAD
S02,TIRE-0061,2024-02-16,21,10469.16,CAD
S01,SEED-0118,2024-02-16,6,1512.13,CAD
S01,SEED-0078,2024-02-17,10,754.13,CAD
S02,FUEL-0072,2024-02-17,14,6419.97,CAD
S01,FEED-0095,2024-02-17,8,382.0,CAD
S04,FEED-0097,2024-02-17,13,4471.26,CAD
S03,SEED-0100,2024-02-18,5,2380.17,CAD
S04,TIRE-0064,2024-02-18,34,13908.8,CAD
S02,SEED-0118,2024-02-18,14,3344.19,CAD
S02,HDWR-0107,2024-02-19,19,2134.9,CAD
S06,TIRE-0084,2024-02-19,11,4611.76,CAD
S06,HDWR-0093,2024-02-19,28,14696.95,CAD
S04,FEED-0070,2024-02-19,5,1288.04,CAD
S01,HDWR-0083,2024-02-19,4,1578.86,CAD
S06,TIRE-0105,2024-02-19,15,4187.01,CAD
S04,FUEL-0117,2024-02-19,21,5660.93,CAD
S03,HDWR-0093,2024-02-20,16,7953.66,CAD
S02,FUEL-0117,2024-02-20,17,3911.42,CAD
S03,TIRE-0105,2024-02-20,21,6267.76,CAD
S02,LUBE-0090,2024-02-20,23,2566.51,CAD
S01,FEED-0106,2024-02-20,5,2307.97,CAD
S01,TIRE-0073,2024-02-20,30,9341.49,CAD
S05,TIRE-0089,2024-02-20,8,3296.85,CAD
S01,FEED-0085,2024-02-21,6,1988.79,CAD
S03,FUEL-0109,2024-02-21,22,4705.47,CAD
S06,FEED-0106,2024-02-21,9,4220.16,CAD
S01,TIRE-0119,2024-02-21,15,960.04,CAD
S04,FUEL-0109,2024-02-21,26,6471.27,CAD
S03,FEED-0070,2024-02-21,4,1220.07,CAD
S03,SEED-0100,2024-02-21,11,6191.98,CAD
S02,SEED-0063,2024-02-21,9,3244.71,CAD
S03,FUEL-0080,2024-02-21,8,1200.71,CAD
S04,FEED-0095,2024-02-22,13,551.53,CAD
S06,TIRE-0105,2024-02-23,21,6366.71,CAD
S02,TIRE-0089,2024-02-23,17,7012.66,CAD
S02,FEED-0070,2024-02-23,15,4447.71,CAD
S04,HDWR-0094,2024-02-23,22,1790.9,CAD
S06,HDWR-0107,2024-02-23,16,1583.62,CAD
S04,FUEL-0109,2024-02-23,16,3588.93,CAD
S06,SEED-0118,2024-02-24,8,2239.02,CAD
S05,LUBE-0090,2024-02-24,18,2181.6,CAD
S01,SEED-0118,2024-02-24,11,2849.44,CAD
S06,TIRE-0073,2024-02-24,14,5041.69,CAD
S06,LUBE-0099,2024-02-25,10,401.38,CAD
S04,LUBE-0090,2024-02-26,18,2019.73,CAD
S01,HDWR-0083,2024-02-26,14,6571.74,CAD
S01,FEED-0104,2024-02-26,3,1205.67,CAD
S04,SEED-0108,2024-02-27,3,1226.44,CAD
S05,FUEL-0072,2024-02-27,13,5981.88,CAD
S06,TIRE-0073,2024-02-28,19,6413.97,CAD
S06,HDWR-0107,2024-02-28,18,2302.64,CAD
S01,TIRE-0105,2024-02-28,1,343.37,CAD
S01,FEED-0104,2024-02-28,5,2042.48,CAD
S06,FEED-0116,2024-02-29,5,1284.98,CAD
S04,TIRE-0087,2024-02-29,5,2381.39,CAD
S06,FEED-0074,2024-02-29,8,1662.91,CAD
S01,HDWR-0113,2024-02-29,25,9741.33,CAD
S03,SEED-0096,2024-02-29,6,1928.46,CAD
S03,SEED-0063,2024-02-29,2,768.08,CAD
S06,FUEL-0109,2024-02-29,33,8122.04,CAD
S03,LUBE-0090,2024-02-29,28,3628.35,CAD
S05,FEED-0102,2024-02-29,1,173.9,CAD
S05,SEED-0071,2024-03-01,24,12352.78,CAD
S01,SEED-0098,2024-03-01,25,1058.4,CAD
S04,FEED-0081,2024-03-01,30,13054.12,CAD
S03,HDWR-0113,2024-03-01,23,8144.8,CAD
S06,TIRE-0086,2024-03-01,21,1883.37,CAD
S01,TIRE-0084,2024-03-01,28,12440.4,CAD
S04,HDWR-0088,2024-03-01,18,8195.64,CAD
S03,LUBE-0090,2024-03-01,26,3005.33,CAD
S03,HDWR-0113,2024-03-02,14,5042.64,CAD
S02,SEED-0100,2024-03-02,10,4361.38,CAD
S01,FEED-0115,2024-03-03,18,5698.67,CAD
S06,TIRE-0077,2024-03-03,20,3789.95,CAD
S01,TIRE-0089,2024-03-04,23,9019.0,CAD
S05,HDWR-0067,2024-03-04,9,109.57,CAD
S01,TIRE-0077,2024-03-04,1,208.83,CAD
S04,TIRE-0073,2024-03-04,10,3610.57,CAD
S01,LUBE-0099,2024-03-04,25,908.13,CAD
S04,FEED-0102,2024-03-04,17,2717.3,CAD
S06,FEED-0081,2024-03-04,9,4567.72,CAD
S02,FEED-0104,2024-03-04,21,8438.54,CAD
S02,HDWR-0094,2024-03-05,20,1476.81,CAD
S02,FUEL-0091,2024-03-05,6,1419.59,CAD
S03,HDWR-0093,2024-03-05,15,6702.53,CAD
S01,LUBE-0099,2024-03-05,12,480.26,CAD
S01,FEED-0081,2024-03-05,15,7202.24,CAD
S01,LUBE-0099,2024-03-05,22,1023.37,CAD
S06,TIRE-0087,2024-03-06,26,10708.69,CAD
S01,HDWR-0110,2024-03-06,25,10990.13,CAD
S03,TIRE-0061,2024-03-06,15,7915.8,CAD
S06,LUBE-0065,2024-03-06,21,4385.36,CAD
S03,SEED-0111,2024-03-06,17,5585.49,CAD
S02,LUBE-0099,2024-03-06,17,771.38,CAD
S04,FEED-0085,2024-03-07,22,7125.13,CAD
S02,LUBE-0068,2024-03-07,8,3750.86,CAD
S05,FUEL-0109,2024-03-07,20,4631.01,CAD
S03,FEED-0115,2024-03-07,6,1825.75,CAD
S03,FUEL-0109,2024-03-07,21,5570.37,CAD
S02,TIRE-0105,2024-03-08,19,5274.28,CAD
S06,FEED-0081,2024-03-08,24,10207.08,CAD
S04,HDWR-0083,2024-03-08,16,7772.57,CAD
S05,TIRE-0119,2024-03-08,29,1788.68,CAD
S04,HDWR-0093,2024-03-09,11,5304.59,CAD
S05,HDWR-0113,2024-03-09,15,5811.81,CAD
S05,HDWR-0103,2024-03-10,18,2279.95,CAD
S05,LUBE-0099,2024-03-11,36,1342.59,CAD
S02,FEED-0085,2024-03-11,16,5443.95,CAD
S06,TIRE-0105,2024-03-11,40,11769.27,CAD
S04,FUEL-0109,2024-03-11,26,5920.8,CAD
S02,SEED-0108,2024-03-11,19,7489.06,CAD
S03,LUBE-0090,2024-03-11,26,3423.51,CAD
S02,TIRE-0073,2024-03-11,1,367.95,CAD
S02,LUBE-0092,2024-03-11,15,6000.71,CAD
S03,FUEL-0109,2024-03-12,21,5264.96,CAD
S03,SEED-0111,2024-03-12,22,9162.31,CAD
S06,FEED-0102,2024-03-12,18,3238.24,CAD
S03,TIRE-0084,2024-03-12,26,11521.11,CAD
S05,TIRE-0119,2024-03-12,34,2306.44,CAD
S03,TIRE-0089,2024-03-12,15,5581.54,CAD
S01,HDWR-0094,2024-03-12,34,2480.21,CAD
S05,LUBE-0099,2024-03-12,12,438.09,CAD
S03,SEED-0078,2024-03-12,30,1946.46,CAD
S04,LUBE-0120,2024-03-12,9,4421.83,CAD
S01,SEED-0096,2024-03-13,17,5024.49,CAD
S01,SEED-0114,2024-03-13,34,5316.75,CAD
S06,TIRE-0086,2024-03-13,17,1452.91,CAD
S06,FEED-0074,2024-03-13,16,3325.17,CAD
S01,HDWR-0094,2024-03-13,19,1447.51,CAD
S01,FEED-0115,2024-03-13,6,1980.27,CAD
S01,FUEL-0091,2024-03-13,35,7694.13,CAD
S02,TIRE-0084,2024-03-14,12,4422.96,CAD
S03,FEED-0085,2024-03-14,11,3776.93,CAD
S03,SEED-0082,2024-03-14,23,1156.55,CAD
S04,FUEL-0101,2024-03-14,16,767.33,CAD
S06,FEED-0115,2024-03-14,15,4325.47,CAD
S06,FEED-0097,2024-03-15,14,4360.84,CAD
S04,FEED-0070,2024-03-15,13,4148.39,CAD
S01,SEED-0071,2024-03-15,22,10249.91,CAD
S04,SEED-0111,2024-03-15,6,2271.18,CAD
S05,HDWR-0067,2024-03-15,13,141.25,CAD
S02,FEED-0104,2024-03-15,20,9032.37,CAD
S02,FEED-0081,2024-03-15,18,9636.17,CAD
S01,SEED-0118,2024-03-15,11,2413.5,CAD
S04,FUEL-0072,2024-03-15,4,1854.86,CAD
S04,HDWR-0067,2024-03-16,21,259.68,CAD
S05,FEED-0074,2024-03-16,12,2460.06,CAD
S06,HDWR-0088,2024-03-17,18,9226.36,CAD
S03,TIRE-0105,2024-03-17,12,4208.01,CAD
S01,HDWR-0088,2024-03-17,30,17875.81,CAD
S05,SEED-0063,2024-03-18,19,7860.33,CAD
S02,FUEL-0066,2024-03-18,28,6628.94,CAD
S02,HDWR-0107,2024-03-18,20,2220.59,CAD
S03,SEED-0118,2024-03-18,12,3141.36,CAD
S03,FEED-0115,2024-03-18,16,4478.72,CAD
S06,SEED-0100,2024-03-19,30,15466.62,CAD
S01,TIRE-0077,2024-03-19,18,3058.9,CAD
S01,FEED-0075,2024-03-19,23,5944.47,CAD
S03,SEED-0108,2024-03-19,8,2731.86,CAD
S01,HDWR-0088,2024-03-19,14,7339.52,CAD
S06,LUBE-0092,2024-03-19,7,2369.51,CAD
S05,HDWR-0103,2024-03-19,3,365.48,CAD
S02,TIRE-0105,2024-03-20,8,2441.32,CAD
S02,LUBE-0092,2024-03-20,14,4984.93,CAD
S03,TIRE-0086,2024-03-20,8,792.31,CAD
S02,FUEL-0109,2024-03-20,25,5407.81,CAD
S03,HDWR-0088,2024-03-20,6,3296.7,CAD
S03,SEED-0114,2024-03-20,28,3877.52,CAD
S03,FEED-0075,2024-03-20,13,3409.84,CAD
S05,FEED-0075,2024-03-20,16,4219.98,CAD
S02,HDWR-0110,2024-03-21,12,5106.76,CAD
S02,LUBE-0092,2024-03-21,19,7058.17,CAD
S02,SEED-0098,2024-03-21,26,1255.42,CAD
S01,SEED-0098,2024-03-21,20,949.57,CAD
S01,TIRE-0087,2024-03-21,14,7045.8,CAD
S04,FEED-0116,2024-03-22,15,3407.3,CAD
S01,FEED-0085,2024-03-22,15,5743.21,CAD
S03,SEED-0071,2024-03-22,12,6028.91,CAD
S05,FEED-0085,2024-03-23,15,4908.23,CAD
S01,HDWR-0107,2024-03-23,27,3044.13,CAD
S01,FUEL-0080,2024-03-23,15,2078.37,CAD
S03,SEED-0100,2024-03-23,27,14601.9,CAD
S06,FEED-0074,2024-03-24,16,3365.14,CAD
S05,SEED-0100,2024-03-24,25,13771.57,CAD
S02,HDWR-0083,2024-03-24,23,10168.32,CAD
S03,TIRE-0087,2024-03-25,14,7337.88,CAD
S01,SEED-0114,2024-03-25,17,2109.51,CAD
S03,TIRE-0105,2024-03-25,20,7197.25,CAD
S04,SEED-0062,2024-03-25,9,3011.46,CAD
S05,FUEL-0117,2024-03-25,8,2030.07,CAD
S04,FUEL-0079,2024-03-25,18,9328.08,CAD
S06,SEED-0111,2024-03-25,23,9460.23,CAD
S05,TIRE-0087,2024-03-26,24,12313.45,CAD
S06,FEED-0085,2024-03-26,16,6104.4,CAD
S05,FUEL-0072,2024-03-26,27,11269.39,CAD
S04,HDWR-0110,2024-03-26,21,10950.76,CAD
S02,TIRE-0105,2024-03-26,24,7811.33,CAD
S01,FEED-0106,2024-03-27,20,8940.8,CAD
S05,SEED-0114,2024-03-27,1,146.06,CAD
S06,TIRE-0084,2024-03-27,11,5043.1,CAD
S02,TIRE-0105,2024-03-27,19,6639.33,CAD
S03,HDWR-0103,2024-03-27,24,3043.29,CAD
S06,FEED-0106,2024-03-27,24,11029.4,CAD
S04,HDWR-0110,2024-03-27,22,9587.84,CAD
S02,FEED-0106,2024-03-27,15,6306.57,CAD
S06,TIRE-0119,2024-03-27,14,962.01,CAD
S01,TIRE-0076,2024-03-28,19,9963.39,CAD
S01,FEED-0095,2024-03-28,9,411.73,CAD
S05,TIRE-0119,2024-03-28,15,1016.0,CAD
S02,FUEL-0117,2024-03-28,16,4491.5,CAD
S03,SEED-0078,2024-03-28,9,716.89,CAD
S02,SEED-0098,2024-03-28,16,726.22,CAD
S06,LUBE-0090,2024-03-28,19,2252.13,CAD
S06,SEED-0108,2024-03-28,10,3871.79,CAD
S03,LUBE-0092,2024-03-28,11,3542.11,CAD
S06,FUEL-0091,2024-03-28,3,760.75,CAD
S03,SEED-0098,2024-03-29,13,640.38,CAD
S05,FEED-0075,2024-03-29,25,7843.18,CAD
S02,FUEL-0101,2024-03-29,28,1221.17,CAD
S06,LUBE-0112,2024-03-29,20,1346.02,CAD
S02,SEED-0111,2024-03-29,15,5161.44,CAD
S06,FUEL-0101,2024-03-29,9,409.53,CAD
S01,TIRE-0086,2024-03-29,24,2672.14,CAD
S03,HDWR-0088,2024-03-29,14,8328.43,CAD
S04,SEED-0111,2024-03-30,11,4454.63,CAD
S06,FUEL-0117,2024-03-30,15,4146.29,CAD
S06,FEED-0070,2024-03-30,7,2032.73,CAD
S02,LUBE-0120,2024-03-31,33,18488.18,CAD
S06,SEED-0100,2024-03-31,19,9712.75,CAD
S03,FEED-0085,2024-04-01,16,5591.52,CAD
S06,FUEL-0101,2024-04-01,18,826.35,CAD
S02,SEED-0114,2024-04-01,28,3790.56,CAD
S05,FEED-0097,2024-04-01,23,7551.4,CAD
S06,FUEL-0072,2024-04-01,28,12719.33,CAD
S03,SEED-0114,2024-04-01,16,2051.39,CAD
S06,FEED-0115,2024-04-01,39,13048.52,CAD
S01,FEED-0081,2024-04-02,38,16814.38,CAD
S04,HDWR-0088,2024-04-02,27,15549.16,CAD
S04,FEED-0081,2024-04-02,31,15615.6,CAD
S01,FUEL-0069,2024-04-02,18,9931.31,CAD
S06,FEED-0097,2024-04-02,16,4592.6,CAD
S05,TIRE-0119,2024-04-02,12,671.85,CAD
S06,FUEL-0101,2024-04-02,17,882.28,CAD
S01,FEED-0085,2024-04-03,17,5561.33,CAD
S02,SEED-0082,2024-04-03,25,1588.24,CAD
S06,SEED-0111,2024-04-03,60,23175.64,CAD
S05,FEED-0074,2024-04-03,28,5725.61,CAD
S05,FUEL-0109,2024-04-03,20,4898.86,CAD
S05,TIRE-0086,2024-04-03,26,2877.51,CAD
S01,TIRE-0086,2024-04-03,17,1717.76,CAD
S02,TIRE-0084,2024-04-04,25,11679.42,CAD
S03,HDWR-0094,2024-04-04,23,1662.05,CAD
S06,HDWR-0094,2024-04-04,20,1303.6,CAD
S06,LUBE-0065,2024-04-04,19,3184.24,CAD
S05,FEED-0115,2024-04-04,37,10927.42,CAD
S02,SEED-0100,2024-04-05,27,14382.07,CAD
S03,HDWR-0094,2024-04-05,21,1419.18,CAD
S05,FEED-0104,2024-04-05,41,17142.7,CAD
S05,FEED-0097,2024-04-05,39,12930.63,CAD
S04,HDWR-0094,2024-04-05,19,1532.36,CAD
S01,HDWR-0113,2024-04-05,27,9623.58,CAD
S06,HDWR-0067,2024-04-05,20,265.01,CAD
S01,HDWR-0107,2024-04-06,11,1375.65,CAD
S04,HDWR-0067,2024-04-06,17,198.01,CAD
S01,TIRE-0105,2024-04-07,21,6998.31,CAD
